Nachname,Vorname,Antwort 8,Antwort 9,Antwort 10,Antwort 11
Name_103,VName_103,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		
		switch(eingabe){
		
			case 't':
				Terminal.println(""Wir moegen dich auch."");
				break;
			
			case 's': 
				Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
				break;
			
			case 'l':
				Terminal.println(""Giovanni, lernst du Programmieren?"");
				break;
			
			default:
				Terminal.println(""Das stand gar nicht zur Auswahl."");
		
		}
		
	}

}","public class ReLoop {
    public static void main(String[] args) {
        
		int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        //int i = 1;
        
		for(int i = 1; i <= height; i++){
		
			for(int j = 0; j < height-i; j++){
			Terminal.print("" "");
			}
		
			for(int j = 0; j < i*2; j++){
			Terminal.print(""*"");
			}
			
			Terminal.print(""\n"");
			
		}
		
    }
}","public class LeapYear {
     
	public static void main(String[] args){
	
		int jahr = Terminal.askInt(""Bitte Jahreszahl eingeben. "");
	
		if ((jahr % 400)==0 || ((jahr % 4)==0 && (jahr % 100)!=0)){
		Terminal.println(""Das Jahr ""+jahr+"" ist ein Schaltjahr."");
		}else{
		Terminal.println(""Das Jahr ""+jahr+"" ist kein Schaltjahr."");
		}
	
	}
	 
}","public class Loops {
    
    public static void main(String[] args) {
		
		for (int c = getCount(); c > 0; c = getCount()){
		countdown(c);
		}
		
    }
    
    public static void countdown(int c) {
		while(c>0){
		Terminal.println(c);
		c--;
		}
		Terminal.println(""Start!"");
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_104,VName_104,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		
		switch(eingabe){
		case 't':
			Terminal.println(""Wir moegen dich auch."");
			break;
		case 's':
		    Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
			break;
		case 'l':
			Terminal.println(""Giovanni, lernst du Programmieren?"");
			break;
		default:
			Terminal.println(""Das stand gar nicht zur Auswahl."");
			break;
		}
	}

}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
		for(int i=1;i<=height;i++){
            
			for(int j = 0; j < height-i; j++){
                Terminal.print("" "");
            }
			
            for(int j = 0; j < i * 2; j++){
                Terminal.print(""*"");
            }
            Terminal.print(""\n"");
        }
    }
}","public class LeapYear {
	public static void main(String[] args) {
		int year = Terminal.askInt(""Bitte Jahreszahl eingeben. "");
		boolean result;
		
		if(year % 400 == 0){
			result = true;
		} else {
			if(year % 4 == 0 && year % 100 != 0){
				result = true;
		} else {
			result = false;
			}
		}
		
		if (result){
			Terminal.print(""Das Jahr ""+ year + "" ist ein Schaltjahr."");
		} else {
			Terminal.print(""Das Jahr ""+ year + "" ist kein Schaltjahr."");
		}
	}
}","public class Loops {
    
    public static void main(String[] args) { //for-Schleife gefordert, Minuswerte müssen ignoriert werden
		for (;;){
			int check = getCount();
			if(check > 0){
				countdown(check);
			} else {
			break;
			}
		}
    }
    
    public static void countdown(int c) { // while-Schleife gefordert
		while (c > 0){
			Terminal.println(c);
			c--;
		}
		Terminal.println(""Start!"");
	}
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_105,VName_105,"public class Menu {
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch (eingabe) {
			case 't':
				Terminal.println(""Wir moegen dich auch."");
				break;
			case 's':
				Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
				break;
			case 'l':
				Terminal.println(""Giovanni, lernst du Programmieren?"");
				break;
			default:
				Terminal.println(""Das stand gar nicht zur Auswahl."");
				break;
		}
	}

}","public class ReLoop {
    public static void main(String[] args) {
    	int height = Terminal.askInt(""Pyramidenhoehe:\n"");
    	for (int i=1 ; i<=height ; i++) {
    		for (int j=0 ; j<height-i ; j++) {
    			Terminal.print("" "");
    		}
    		for (int j=0 ; j<i*2 ; j++) {
    			Terminal.print(""*"");
    		}
    		Terminal.print(""\n"");
    	}
    }
}","public class LeapYear {
	public static void main(String[] args) {
		int input = Terminal.askInt(""Bitte Jahreszahl eingeben. "");
		if (input % 400 == 0 || (input % 4 == 0 && input % 100 != 0) ) {
			Terminal.print(""Das Jahr "" + input + "" ist ein Schaltjahr."");
		} else {
			Terminal.print(""Das Jahr "" + input + "" ist kein Schaltjahr."");
		}
	}
}","public class Loops {
    
    public static void main(String[] args) {
    	for (int input = getCount(); input > 0 ; input = getCount() ){
    		countdown(input);
    	}
    }
    
    public static void countdown(int c) {
    	while(c>0) {
    		Terminal.println(c--);
    	}
    	Terminal.println(""Start!"");
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_106,VName_106,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
	switch(eingabe){
      
      case 't':
        Terminal.println(""Wir moegen dich auch."");
        break;
    
      case 's': 
        Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
        break;
      case 'l':
        
        Terminal.println(""Giovanni, lernst du Programmieren?"");
        break;
      default:
      Terminal.println(""Das stand gar nicht zur Auswahl."");
      break;
    }
	}

}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
          for(int i=1;i<=height;i++) {
           
            for(int j=0;j<height-i;j++) {
                Terminal.print("" "");
               
            }
            
            for(int j=0;j<i*2;j++) {
                Terminal.print(""*"");
                
            }
            Terminal.print(""\n"");
          
        }
    }
    
}","public class LeapYear {
      public static void main (String [] args){
    
    int Jahreszahl=Terminal.askInt(""Bitte Jahreszahl eingeben. "");
    if(Jahreszahl % 400==0){
    
      Terminal.println(""Das Jahr "" + Jahreszahl +"" ist ein Schaltjahr."");
    }   
    else if (Jahreszahl % 4==0) {
       if (Jahreszahl % 100==0) {
        Terminal.println(""Das Jahr "" + Jahreszahl +"" ist kein Schaltjahr."");    
       } 
       else {
       Terminal.println(""Das Jahr "" + Jahreszahl +"" ist ein Schaltjahr."");  
       } 
          
    }
    else {
      
       Terminal.println(""Das Jahr "" + Jahreszahl +"" ist kein Schaltjahr."");
      }
  
  }  
}","public class Loops {
    
    public static void main(String[] args) {
       for(int Eingabe=getCount();Eingabe>0;){
      countdown(Eingabe);
      Eingabe=getCount();
      
      }  
        
        
    }
    
    public static void countdown(int c) {
         while (c>0) { 
      Terminal.println(c);
      c--;
    } 
    Terminal.println(""Start!"");
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_107,VName_107,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch(eingabe){
			case 't':
			Terminal.println(""Wir moegen dich auch."");
			break;
			case 's':
			Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
			break;
			case 'l':
			Terminal.println(""Giovanni, lernst du Programmieren?"");
			break;
			default:
			Terminal.println(""Das stand gar nicht zur Auswahl."");
		}
		
	}

}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        
		for(int i = 1;i <= height;i++){
			 for(int j = 0;j < height-i;j++){
				 Terminal.print("" "");
			 }
			 for(int j = 0;j < i*2;j++){
			 Terminal.print(""*"");
			 }
			 Terminal.print(""\n"");
		}
			
		
		
		
        
        
    }
}","public class LeapYear {
	
	
	public static void main (String[] args) {
		
	int jahr =	Terminal.askInt (""Bitte Jahreszahl eingeben. "");
	
	if (schaltjahr(jahr)){
		
	Terminal.println (""Das Jahr "" + jahr + "" ist ein Schaltjahr."");
	}
	else {
		Terminal.println (""Das Jahr "" + jahr + "" ist kein Schaltjahr."");
	}
	}
		public static boolean schaltjahr(int jahr){
			if (jahr % 400 == 0){

				return true;
			}
			
			if (jahr %4==0 && jahr% 100 !=0) {
				return true;
			}	
			
			return false;
			
			
			}

			
		}","public class Loops {
    
    public static void main(String[] args) {
		for (int c = getCount();c>0;c=getCount()){
			countdown(c);
		}
    }
    public static void countdown(int c) {
		
		while(c >0){ 
		Terminal.println(c);
		c--;
		}
		Terminal.println(""Start!"");
		}
    
    public static int getCount() {
		
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_108,VName_108,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch (eingabe) {
            case 't':
                Terminal.println(""Wir moegen dich auch."");
                break;
            case 's':
                Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
                break;
            case 'l':
                Terminal.println(""Giovanni, lernst du Programmieren?"");
                break;
            default:
                Terminal.println(""Das stand gar nicht zur Auswahl."");
        }
	}

}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        for (int i = 1; i <= height;) {
            for (int j = 0; j < height-i; j++) {
                Terminal.print("" "");
            }
            for (int j = 0; j < i*2; j++) {
                Terminal.print(""*"");
            }
            Terminal.print(""\n"");
            i++;
        }
    }
}","public class LeapYear {
     public static void main(String [] args) {
        int jahr;

        jahr = Terminal.askInt(""Bitte Jahreszahl eingeben."");
        if (jahr % 4 == 0 && (jahr % 100 != 0 || jahr % 400 == 0)) {
            System.out.println("" Das Jahr "" + jahr + "" ist ein Schaltjahr."");
        } else {
            System.out.println("" Das Jahr "" + jahr + "" ist kein Schaltjahr."");
        }
     }
}","public class Loops {
    
    public static void main(String[] args) {
    }
    
    public static void countdown(int c) {
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
Name_109,VName_109,"public class Menu {

	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();

    switch (eingabe) {

      case 't':
        Terminal.println(""Wir moegen dich auch."");
        break;

      case 's':
        Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
        break;

      case 'l':
        	Terminal.println(""Giovanni, lernst du Programmieren?"");
          break;

      default:
          Terminal.println(""Das stand gar nicht zur Auswahl."");
    }
	}
}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        //int i = 1;
        for(int i = 1; i <= height; i++) {

            for(int j = 0; j < height-i; j++) {

                Terminal.print("" "");
            }

            for(int j = 0; j < i*2; j++) {

                Terminal.print(""*"");
            }

            Terminal.print(""\n"");
        }
    }
}","public class LeapYear {
  public static void main(String[] args) {

    int jahreszahl = Terminal.askInt(""Bitte Jahreszahl eingeben. "");
    if (jahreszahl%400 == 0 || jahreszahl%4 == 0 && jahreszahl%100 != 0) {
      Terminal.print(""Das Jahr "" + jahreszahl + "" ist ein Schaltjahr."");


    }
    else {
      Terminal.print(""Das Jahr "" + jahreszahl + "" ist kein Schaltjahr."");
    }


  }
}","public class Loops {

    public static void main(String[] args) {
        
      for (int j = getCount(); j>0 ; j=getCount()){
      countdown(j);
      }
      
    }

    public static void countdown(int c) {
      int i = c;
      while (i>0) {
        Terminal.println(i);
        i--;
      }
      
      Terminal.println(""Start!"");
    }

    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }

}"
Name_110,VName_110,"import java.util.Scanner;
    public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		Scanner reader = new Scanner(System.in);				 
		char eingabe = reader.next().charAt(0);
		
		switch(eingabe) {
		case 't': System.out.println(""Wir moegen dich auch.""); break;
		
		case 's': System.out.println(""Hauptsache wir stinken geruchstechnisch nicht.""); break;
		
		case 'l': System.out.println(""Giovanni, lernst du Programmieren?""); break;
		
		default: System.out.println(""Das stand gar nicht zur Auswahl."");
		}
	}
}","import java.util.Scanner;
public class ReLoop {
    public static void main(String[] args) {
		Scanner reader = new Scanner(System.in);
	    System.out.println(""Pyramidenhoehe:\n"");
		int height = reader.nextInt();
		for(int i = 1; i <= height; i++) {
		for(int j = 0; j < height-i; j++) {
        System.out.print("" "");
		}
		for(int j = 0; j < i*2; j++)
        System.out.print(""*"");
        }
		System.out.print(""\n"");
	}
}","import java.util.Scanner;
	public class LeapYear {
	public static void main(String[] args) {
		Scanner reader = new Scanner(System.in);
		System.out.print(""Bitte Jahreszahl eingeben. "");
		int x = reader.nextInt();
		if (((x % 4 == 0) && (x % 100 != 0)) || (x % 400 == 0)) 
		System.out.println(""Das Jahr ""+x+"" ist ein Schaltjahr."");
		else 
		System.out.println(""Das Jahr ""+x+"" ist kein Schaltjahr."");
	}
}","import java.util.Scanner;
	public class Loops {
    public static void main(String[] args) {
		Scanner scan = new Scanner(System.in);
		for(int c = getCount(scan); c > 0; c = getCount(scan)) {
		countdown(c);	
    }
	}
	public static void countdown(int c) {
		while(c > 0) {
		System.out.println(c);
		c = c-1;
	}
		System.out.println(""Start!"");
	}
	public static int getCount(Scanner scan) {
		System.out.println(""Countdown:\n"");
		return scan.nextInt();
    }
}"
Name_62,VName_62,"public class Menu {
	
	public static void main(String [] args) {
		System.out.println(""Bitte auswaehlen...\n""+
						   ""\tPPR ist [t]oll\n""+
						   ""\tPPR [s]tinkt mir\n""+
						   ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch(eingabe){
		case 't':
			Terminal.println(""Wir moegen dich auch."");
			break;
		case 's':
			Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
			break;
		case 'l':
			Terminal.println(""Giovanni, lernst du Programmieren?"");
			break;

		default:
			Terminal.println(""Das stand gar nicht zur Auswahl."");
		}
	}
}","public class ReLoop {
	public static void main(String[] args) {
		int height = Terminal.askInt(""Pyramidenhoehe:\n"");
		for (int i= 1; i<=height;) {
			for (int j=0;j<=height-i;) {
				Terminal.print("" "");
				j++;
			}
		for (int j=0;j<i*2;) {
				Terminal.print('*');
				j++;
			}
				Terminal.print(""\n""); 
				i++;		
		}		
	}
}","public class LeapYear {
	public static void main (String []args) {
		int jahreszahl = Terminal.askInt("""");
		if(jahreszahl%400==0 || jahreszahl%4==0 && jahreszahl%100!=0){
			Terminal.println(""Bitte Jahreszahl eingeben. Das Jahr "" +jahreszahl+ "" ist ein Schaltjahr. "");
		}else{
			Terminal.println(""Bitte Jahreszahl eingeben. Das Jahr "" +jahreszahl+ "" ist kein Schaltjahr. "");
		}
	}
}","public class Loops {
    
    public static void main(String[] args) {
        Terminal.askInt(""Countdown:\n"");
        for (int c=getCount(); c<0;c=getCount()) {
        }    
    }
    public static void countdown(int c) {
        while (c > 0) {
            Terminal.askInt("""");

            if (c==0);
            Terminal.print(""Start!"");
            if (c>0);
            Terminal.print(""c"");
        }    
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");

    }     
}"
Name_25,VName_25,"public class Menu {
		
	public static void main(String [] args) {
		System.out.print(""Bitte auswaehlen...\n"" +
			             ""\tPPR ist [t]oll\n"" +
			             ""\tPPR [s]tinkt mir\n"" +
			             ""\tPPR, Flasche [l]eer.\n\n"");
		char eingabe = Terminal.readChar();
		switch(eingabe){
		    case 't':
		        Terminal.println(""Wir moegen dich auch."");
		        break;
		    case 's': 
		        Terminal.println(""Hauptsache wir stinken geruchstechnisch nicht."");
		        break;
		    case 'l':
		        Terminal.println(""Giovanni, lernst du Programmieren?"");
		        break;
		    default: 
		        Terminal.println(""Das stand gar nicht zur Auswahl.""); 
		}
	}

}","public class ReLoop {
    public static void main(String[] args) {
        int height = Terminal.askInt(""Pyramidenhoehe:\n"");
        for (int i = 1; i <= height;) {
            for (int j = 0; j < height-i; j++) {
                Terminal.print("" "");
            }
            for (int j = 0; j < i*2; j++) {
                Terminal.print(""*"");
            }
            Terminal.print(""\n"");
            i++;
        }
    }
}","class LeapYear {
    public static void main(String[] args) {
        int year;
    	year = Terminal.askInt("""");
        boolean isLeap = false;

        if(year % 4 == 0)
        {
            if( year % 100 == 0)
            {
                if ( year % 400 == 0)
                    isLeap = true;
                else
                    isLeap = false;
            }
            else
                isLeap = true;
        }
        else {
            isLeap = false;
        }

        if(isLeap==true)
            System.out.println(""Bitte Jahreszahl eingeben. Das Jahr "" + year + "" ist ein Schaltjahr."");
        else
            System.out.println(""Bitte Jahreszahl eingeben. Das Jahr "" + year + "" ist kein Schaltjahr."");
    }
}","public class Loops {
    
    public static void main(String[] args) {
        int c = Terminal.askInt(getCount());
        for (;c >= 0;){
            countdown(c);
        }
            Terminal.askInt(""Countdown:\n"");
    }
    
    public static void countdown(int c) {
        while (c>0){
            Terminal.print(c);
            c--;
        }
        if (c==0){
            Terminal.print(""Start!"");
        }
    }
    
    public static int getCount() {
        return Terminal.askInt(""Countdown:\n"");
    }
    
}"
